,sentence
384,   Is the end date of the loan component on which you make additional repayments before the end of the fixed-rate period of that loan component minus the period of Freedom of Interest?
385,Dan uses Obvion for the period over which the compensation is calculated the end date of that loan part.
386, 4: How does Obvion determine the interest rate differential?
387,"  To determine the interest rate difference, it is important which mortgage type it is  loan component on which you have made extra repayments."
388,"   Is the loan component on which you make additional repayments an Interest-only, Life or Switch mortgage where there is full investment?"
389, Obvion first calculates the total amount for which you have to pay compensation  interest with your current interest rate.
390,Then Obvion calculates the total interest with the comparative interest.
391,The difference between them is the amount of interest that Obvion does not receive because you pay extra.
392,"     An example of the calculation of the reimbursement for an Interest-Only, Life or You can find a switch mortgage that involves full investment at obvion.nl/fee."
393, Is the loan component on which you make additional repayments an Annuity Mortgage or a Linear mortgage?
394," With an Annuity Mortgage or a Linear Mortgage, Obvion takes into account the  course of the planned future repayments of the amount on which you must pay compensation."
395,"Obvion calculates the total interest over this course using your current interest rate, and the total interest with the comparator interest."
396,The difference between them is amount of interest that Obvion does not receive because you make additional repayments.
397, An example of the calculation of the compensation for an Annuity Mortgage and also An example of a Linear mortgage can be found at obvion.nl/fee.
398," Is the loan component on which you make additional repayments a SpaarGerust, a Spaar, a SpaarGarant or a Switch mortgage that involves savings?"
399," With a SpaarGerust, a Spaar, SpaarGarant or Switch mortgage, no  repaid monthly on the loan."
400,You deposit an amount every month on your SpaarGerust Account or your insurance linked to your SpaarGarrant or SpaarGarant Switch mortgage.
401,"In addition, your current interest on the accrued interest is calculated on a monthly basis savings balance reimbursed and credited to the balance of your SpaarGerust account or your insurance linked to your Spaar-, SpaarGarant- or Switch mortgage."
402,"In front of the calculation of the compensation is the movement of the debt less the accrued savings value of your SpaarGerust, your Spaar, your SpaarGarant or Switch mortgage therefore equal to the movement of the debt balance of an identical Annuity Mortgage."
403,That is why Obvion calculates the compensation in the same way as the compensation for a annuity mortgage.
404,"   An example of the calculation of the reimbursement for a SpaarGerust, a Spaar, a You can find SpaarGarant or a Switch mortgage that involves savings at obvion.nl/ compensation."
405, 5: How does Obvion calculate the present value?
406,"  With an extra repayment, you pay the total interest difference to Obvion in one go, not  in the future but now."
407,That is why we calculate the interest differences per month back to the time of the additional repayment and make this cash.
408,This cash made we add up interest differences and this is then the compensation that Obvion pays you charges.
409,Do you inform Obvion that you want to make an extra repayment?
410,And do you need for the extra refund  pay a fee?
411,Then you will receive a specification of the compensation.
412,In here it is explained for each loan component what the compensation is.
413,"In Article 23 of these General Conditions, you can read how to inform Obvion about an additional refund."
414,You pay the reimbursement at the same time as the additional amount you repay.
415,"After additional repayment, your monthly amount will change."
416,Obvion fits it  monthly amount owed for the loan component to which you make additional repayments.
417,This will take effect on the first working day of the month following the month in which Obvion has received and processed the additional refund.
418,You may repay the loan without compensation in the following cases:  a. you have the home (the collateral to which you are entitled to a mortgage to Obvion  granted) transferred to another person.
419,And You show Obvion that all borrowers move within one year.
420,"Do you transfer the house, or part of it, to: your husband or wife; your registered partner; the person with whom you share a household; a company or partnership in which you participate."
421,"In that case, the exception does NOT apply that you may take the loan extra without compensation  pay back."
422, b. in the event of the death of a borrower up to one year after death after payment of a life insurance policy that is used for additional repayment of the loan.
423,if you repay extra with a payment from a life insurance policy or (bank) savings or investment account pledged to Obvion as security for a loan issued by Obvion to you loan provided.
424,if you make additional repayments with the credit of the building fund account when the building fund account is terminated.
425,e. in the event of complete destruction of the house.
426,f. if you make additional repayments on the day on which the fixed-rate period of the loan component  ends.
427,Obvion will pay interest on an extra repayment from the date of receipt of the extra payment refund until the end of the relevant month.
428,"On the last day of the relevant month, the interest payment is automatically settled with the debt of the loan part on which you pay extra."
429, Do you want to pay extra?
430,Then you must notify Obvion at least 14 days before the desired inform the refund date.
431,You specify the desired repayment date.
432,Do you pay it amount to be refunded later than on the specified refund date?
433,Then you must pay interest on the late repayment.
434,This is called daily interest.
435,"If you make a refund before or on the specified refund date, you will pay from the first no interest on the refunded amount on the day after payment."
436," Obvion may purchase mortgage types, mortgage types, fixed-rate periods and services from the range, add to or change."
437,During the term of the loan you can switch to an Obvion Residential Mortgage  or Obvion Compact Mortgage.
438,Switching to another mortgage type is not possible.
439,Do you want to change your mortgage type as described in paragraph 1?
440,"Then it's not possible  make other adjustments at the same time, such as increasing your loan."
441,"It is, however, possible to simultaneously change your mortgage type and opt for a other type of mortgage."
442,Do you want to change your loan conditions in the interim?
443,"For example, the mortgage type, the  mortgage type, interest rate or fixed-rate period?"
444,The following rules apply for this: a.
445,"In the event of any change, the then current General Terms and Conditions of Obvion from  apply to the total loan."
446,Such a change may require you to pay interest loss compensation of Obvion according to the calculation in article 22 of these General Terms and Conditions.
447,"  In that article, instead of ""the time of receipt of the additional refund"", read: “the moment that Obvion receives your request for the change”."
448,A change of mortgage type at the end of the fixed-rate period can lead to a  changed interest rate that corresponds to the chosen mortgage type.
449,A change of mortgage type during the fixed-rate period can lead to a  changed interest rate.
450,"You pay the interest rate that applied to the chosen mortgage type at the time of your last interest rate determination, provided that the rate group and the individual rate surcharge has not been changed."
451, e. Changes are only possible if the criteria that Obvion uses at that time are met  for similar loans.
452,The change will be recorded in a binding offer that Obvion will send you.
453,This binding offer you must accept by signing it.
454,"You may have to pay costs for a change in the loan conditions, see  for this obvion.nl."
455,"At the end of the fixed-rate period of the relevant loan component, you can  loan part change at no cost."
456, i. On obvion.nl you will find current information about changing loan conditions and the costs thereof.
457,Obvion can change the costs during the term of the loan.
458, j. Obvion is not obliged to comply with a request to change the  loan conditions.
459,"Obvion will in any case not cooperate with the request for change, in the event of improper use."
460,"In certain cases, you must arrange changes to your loan conditions via a intermediary."
461,This intermediary must be listed on obvion.nl.
462,It could be that your intermediary charges costs for this.
463,You can find it on obvion.nl which changes you must arrange through an intermediary and which you do not.
464, The loan can be increased if the financing criteria that Obvion at that time for similar loans.
465,"However, Obvion is not obliged to vote for an increase."
466,"If Obvion agrees to an increase, the following applies: 1."
467,"To increase your loan, Obvion adds one or more new loan parts."
468,Was there a registration at the Land Registry when the loan was taken out?
469, for a higher amount than the loan?
470,Then you can use your loan up to that amount increase without having to go to a notary.
471,"When taking out the loan, DO NOT register an amount higher than the  money loan at the Land Registry?"
472,Then you have to go to the notary again for a new registration to increase your loan.
473,There are costs associated with this.
474,The total loan may not exceed the amount for which the mortgage was granted.
475,"In the event of an increase in the loan, the then applicable General Terms and Conditions of  Obvion applies to all loan components."
476,"If a different ratio arises between the amount  of the loan and the value of the home, a (other) individual may rate surcharge on the interest rate of each loan component."
477,The height of the individual rate surcharge may differ per loan component.
478,You must arrange to increase your loan through an intermediary.
479,This intermediary  must be listed on obvion.nl.
480,Your intermediary may charge costs for this takes into account.
481,"If you buy the house (the collateral to which you have granted a mortgage to Obvion)  sells and repays the current loan, the following applies: a. Are you buying another home in the Netherlands that you will use as your main residence?"
482," In that case, you may include the interest conditions that have been agreed with you up to a maximum of the amount of the loan component that you repay upon sale."
483,This is what Obvion calls the take-away arrangement.
484,"This means that the interest rate and the remaining fixed-rate period of the repaid loan will apply to a new loan, on provided that the mortgage type does not change."
485,"With the take-away arrangement, there may be are of a changed rate group and/or mortgage type, so that the interest rate can change."
486,You can pass on the interest conditions that have been agreed with you up to a maximum of  amount of the loan component that you repay upon sale.
487,This is what Obvion calls the transfer arrangement.
488,"This means that you can set the interest rate and the remaining fixed-rate pass on the period of your repaid loan to the buyer of your home, provided that the mortgage type does not change."
489,"With the transfer arrangement there can be there is a changed rate group and/or mortgage type, which means that the interest rate can change."
490,  Obvion calls these two options the relocation facility.
491, Do you want to be eligible for the relocation facility?
492,"Then submit within three months after repay your current loan with Obvion, submit an application for a new one money loan."
493,"In doing so, the financing criteria that Obvion has at that time must be met uses for similar loans."
494, 2. Is there more than one borrower?
495,"And do you not, after the sale of the joint home,  joint use of the take-along scheme?"
496,"For example, in the event of a divorce."
497,Then the following options: a. One of you makes use of the take-away arrangement.
498,This is possible up to a maximum of the  sale refunded amount.
499,The other borrower(s) must waive the take-away arrangement.
500,All borrowers make use of the take-away scheme.
501,Together they take maximum  the amount refunded at the time of sale.
502,You make a division among yourselves.
503,"For example, with two borrowers, each half."
504,You then renounce the part that you does not take.
505,The then current General Terms and Conditions of Obvion .
506,will be applied to the new loan(s).
507,Does a different ratio arise between the height of the new  loan to be taken out for the house and the value of the house?
508,Then the individual change the rate surcharge in the interest rate.
509,Applying for the relocation facility must be arranged through an intermediary.
510,This  intermediary must be listed on obvion.nl.
511,Your intermediary may have to do this charges costs.
512, Information from Obvion to you 1.
513,Obvion will send you a balance statement of the loan every year.
514,This balance statement contains  information that is important for your tax return.
515,Do you disagree with the balance statement?
516,And if you do not respond in writing within 1 month after  provision?
517,"In that case, you have approved the balance statement."
518,Obvion will keep your intermediary informed about the progress of your loan.
519, An extract from its administration signed by Obvion is considered complete to you proof.
520,Unless you can provide evidence to the contrary.
521,Obvion can demand the loan immediately in the following cases.
522,Obvion you need for that  not first give notice of default or meet other requirements.
523,a. You or a third-party mortgagor do not do (on time)
524,what you or a third-party mortgagor  has agreed with Obvion.
525,"For example, you fulfill your obligations from the General Conditions not (on time) after."
526, b. You or a third party lender has told Obvion something that is not true or incomplete.
527,Or you have not told Obvion something that could be important to Obvion.
528,"In the opinion of Obvion, you or a third-party mortgagor poses a risk to  the reliability or reputation of Obvion or the financial sector."
529,For example if you acts unreliably as described in the reading guide 'acting reliably'.
530,"You or a third-party mortgagor:  dies; no longer lives in the Netherlands, or will no longer be living in a few months  live in the Netherlands;  files for bankruptcy or is declared bankrupt; is placed under guardianship or loses free management of your or his assets; requests suspension of payment."
531, e. You or a third-party mortgagor is subject to a statutory debt rescheduling scheme of  has been declared applicable or has been requested to do so.
532,A creditors' agreement is offered by or for you or a third-party mortgagor.
533,The assets of you or a third-party mortgagor are placed under administration or management.
534,The assets of you or a third-party mortgagor will be seized.
535,Or on that  story is sought in a different way.
536," i. Something is happening that, in Obvion's judgment, has led (or may lead) to a  disproportionate restriction on Obvion's rights."
537,"Your collateral or the collateral of a third-party mortgagor:  is transferred, expropriated, requisitioned or confiscated; is subject to another administrative coercion measure;  becomes worth much less; are you using for a purpose other than the purpose at the time the right of  gets damaged or is (partially) lost;  mortgage has been granted to Obvion;  is no longer inhabited or will no longer be inhabited within a few months."
538,If there is a lack of title to property.
539,Or Obvion proposes a defect  fixed in a title(s) relevant to it as a mortgagee.
540,"An insurance policy must be pledged to Obvion or pledged to Obvion and:  the insurance was not taken out at the time Obvion has agreed with you; the insurance does not meet the conditions that Obvion sets for the insurance; the insurance was not pledged to Obvion in time; Obvion does not have a first pledge on the insurance (first in rank); the insured persons named in the policy have changed; the premium has not been paid or has not been paid on time; you do not fulfill your obligations under the insurance, or do not fulfill them on time or properly."
541,Whether you  does not do what you have agreed with Obvion;  the insurance is surrendered; the insurance ends prematurely or is made non-contributory; the insurer adjusts the conditions; the emergency regulation or the bankruptcy of the insurer is pronounced.
542,"A bank savings or investment account is pledged to Obvion and:  the account was not opened at the time Obvion has agreed with you; the account does not meet the conditions that Obvion sets for this account; the account was not pledged to Obvion on time; Obvion does not have a first lien on the account (first in rank);  you do not do what Obvion has agreed with you about the account; you do not meet your obligations associated with keeping the account, or do not meet them on time, or  not properly after;  you have not deposited the deposit amount or not on time in the account; the account ends."
543,This also applies if Obvion closes the account.
544,"And it doesn't matter  explain the reason for such termination;  the emergency regulation or the bankruptcy of the institution where you hold the account,  is pronounced."
545,Someone exercises a lien on the collateral.
546,"There is no permit required to build, renovate or use your home, expires or is revoked."
547,Or someone does things that are not allowed according to such a permit.
548,Security has been given on an apartment right and the association of apartment  owners decision: to amend the deed of division or the regulations; demolish the apartment building; cancel the split; that you or a third-party mortgagor may no longer use the apartment right.
549,You have given security on a ground lease or building rights and:  that justice has ended; this right is expected to end; change the terms of that right; you or a third-party mortgagor is not doing what it is required to do under that right of  leasehold or building.
550,You pay the outstanding debt at the end of the term of a loan component  of the past loan portion will not be returned to Obvion.
551,"You and your transferee(s) under universal title (for example your heirs), are obliged  inform Obvion in writing about facts or circumstances such as in this article called."
552,This immediately as soon as these have occurred.
553,Has Obvion claimed a loan component?
554,Then you must immediately:  a. repay that loan portion to Obvion; b. pay all interest still to be paid on that loan component to Obvion; c. pay any compensation and costs to Obvion.
555,Any compensation  that you have to pay is compensation for the loss of interest that Obvion has and will be calculated on the basis of the calculation in Article 22 of these General Terms and Conditions.
556, You don't have to ask Obvion for that.
557,"Does Obvion after making the binding offer, but before passing  the mortgage deed, determine that you are acting in violation of the provisions of this article?"
558,"Or are you imputably failed to meet your obligations (for example, if you commit fraud)?"
559,"In that case, Obvion will not provide the loan."
560,You must also give Obvion a pay an immediately due and payable penalty of 1% of the principal sum of the goods in the binding offer said loan.
561," Obvion may claim the claims against you arising from the loan and the rights associated therewith (for example, the right of mortgage and pledges), transfer it to another."
562,Which can be completely or partially.
563,That's called transference.
564,"The party to whom the transfer takes place, is called 'legal successor'."
565,You agree in advance to a transfer to a legal successor and you cooperates in ensuring that the securities granted benefit the legal successor.
566,"Upon transfer, the legal successors can independently exercise all rights and powers against your exercise."
567,"If upon transfer the legal successors also take over obligations, they must fulfill those obligations to you."
568,Obvion proposes the transfer of your personal data available to the legal successor.
569,"At your expense:  a. all taxes related to the loan and the home; b. all costs related to the loan; c. all costs related to collateral for the loan; and d. all costs for collection and enforcement (including legal costs) that Obvion makes, both in and out of court, with a minimum of € 500.00."
570,"For the cost for collection, you do not pay more than the maximum amount according to the law Allowed."
571,Taking out a loan can have consequences for the tax you pay.
572, Obvion does not provide tax advice on your loan.
573,Obvion is not liable for the tax rules that apply to your loan and the associated products.
574,Not even if you miss out on a tax benefit.
575,You must submit your tax return on time.
576," b.  Special conditions for various fixed-rate periods  In addition to the aforementioned conditions, the following conditions apply."
577,Only the front values ​​for the fixed-rate period(s) agreed with you apply.
578," This article applies to loan components with a fixed-interest period of one month, with application date before March 23, 2009."
579,Obvion determines the interest rate once a month (on the last working day) and divides this to you in writing.
580,You can also consult the current interest rate via obvion.nl. 2.
581,The interest rate is made up of the basic rate (1-month Euribor) and a surcharge that  determined periodically by Obvion.
582,This storage consists of the following components:  saves Surcharges in connection with developments on the capital markets and capital costs.
583,This  surcharge covers the costs of the risks that Obvion runs with the financing of mortgages.
584," Ongoing costs With this, Obvion covers part of its operating costs, such as accommodation and personnel costs."
585," Gain As a lender, Obvion can add this surcharge to its assets."
586,This enables Obvion to finance mortgages for future customers as well.
587,in addition  Obvion thus meets the capital requirements of De Nederlandsche Bank.
588," Individual rate surcharges   The rate group depends on, among other things, the ratio between the mortgage debt and the market value of the collateral."
589,"On the basis of the rate group, among other things, the amount of the individual tariff surcharge is determined."
590,Do you have loan components for which the fixed-rate period commenced before 24 April 2017?
591,"Then  until the end of the fixed-rate period, the ratio between the mortgage debt and the foreclosure value* of the home."
592,"For appraisals with a value reference date from 1 January 2013, Obvion uses as foreclosure value 90% of the appraised market value."
593,"   The rate group and the amount of the individual rate surcharge can change, among other things, at:  the start of a new fixed-rate period."
594," Obvion is authorized to change the above components if the developments and  or changes in capital markets and capital costs, risks to the financing mortgages, ongoing costs, operating costs and rate group its for that purpose give rise to."
595,The amount of the above components can change monthly.
596,"As a result, the interest rate can also change monthly."
597,"If the interest rate rises, your monthly payments will rise."
598,That's why you need enough space  have in your budget.
599,This way you can absorb fluctuations in your monthly payments.
600,How much financial space you need depends on your personal situation.
601,You can always opt for a fixed-interest period of longer than one month.
602,Your new  The fixed-rate period then starts on the first day of the month following the month in which Obvion receives a signed application form from you for the conversion of the fixed-rate period.
603,You cannot revoke a choice once made.
604,"For the new ones fixed-rate period, the interest rate that Obvion applies on the date on which Obvion receives your application form."
605,You can find this application form on obvion.nl.
606,Or ask to your agent.
607,"With a fixed-interest period of one month, you may always use this loan component without compensation  additional refund."
608,There is a minimum amount for an additional refund.
609,Obvion can do this amount change during the term of the loan.
610,For more information see “Explanation to the General Terms and Conditions” on obvion.nl.
611,A maximum percentage may apply to the part of the debt remaining that you can  finance with variable monthly interest.
612,"For the current maximum percentage Variable monthly interest, see “Explanation of the General Terms and Conditions” on obvion.nl."
613,The basic rate referred to in paragraph 2 of this article is based on the 1-month Euro Interbank Offered Rate (Euribor rate).
614,Obvion sets the variable interest rate for each month on the basis of of the 1-month Euribor rate.
615,Obvion uses the Euribor rate that applies on the last working day of the previous month.
616,Obvion can also go another day for that to use.
617,European Money Markets Institute (EMMI) in Brussels sets this rate.
618,Obvion can also have another institution do this.
619,"If EMMI no longer sets Euribor rates, Obvion will designate another comparable rate."
620,That can have an impact on your loan.
621,Obvion determines what a comparable rate.
622,"In that case, we have a written plan stating which actions we will take if the Euribor rates are no longer allowed or can no longer be used."
623,Further information can be found on obvion.nl.
624," This article applies to loan parts with a fixed-interest period of one month that have commenced as of November 9, 2009."
625,The interest rate can change daily.
626,You pay the first calendar month it interest rate that applies on the date of passing at the notary.
627,The rate will be then recalculated on the 1st of each month on the basis of the applicable daily rate on the last working day of the previous month.
628,This rate is valid all month and Obvion will inform you in writing.
629,You can also check the current interest rate via obvion.nl consult.
630,The interest rate is made up of the following variable components:  base rate This is the price Obvion pays for buying money to finance mortgages.
631, saves Surcharges in connection with developments on the capital markets and capital costs.
632,This    surcharge covers the costs of the risks that Obvion runs with the financing of mortgages.
633,"   Ongoing costs With this, Obvion covers part of its operating costs, such as housing and personnel costs."
634," As a lender, Obvion can add this surcharge to its assets."
635,This is what Obvion says is also able to finance mortgages for future customers.
636,"In addition, Obvion this complies with the capital requirements of De Nederlandsche Bank."
637," Individual rate surcharges    The rate group depends on, among other things, the ratio between the mortgage debt and the market value of the collateral."
638,"On the basis of the rate group, among other things, the amount of the individual tariff surcharge is determined."
639," The rate group and the amount of the individual rate surcharge can change, among other things, at:  the start of a new fixed-rate period."
640,"  Obvion is authorized to change the above components if the developments and/ or changes in capital markets and capital costs, risks to the financing mortgages, ongoing charges, operating expenses and rate groups its give rise to this."
641,The amount of the above components can be monthly modify.
642,"As a result, the interest rate can also change monthly."
643,"If the interest rate rises, your monthly payments will rise."
644,That's why you need enough space  have in your budget.
645,This way you can absorb fluctuations in your monthly payments.
646,How much financial space you need depends on your personal situation.
647,You can always opt for a fixed-interest period of longer than one month.
648,Your new  The fixed-rate period then starts on the first day of the month following the month in which Obvion receives a signed application form from you for the conversion of the fixed-rate period.
649,You cannot revoke a choice once made.
650,"For the new ones fixed-rate period, the interest rate that Obvion applies on the date on which Obvion receives your application form."
651,You can find this application form on obvion.nl.
652,Or ask to your agent.
653,"With a fixed-interest period of one month, you may always use this loan component without compensation  additional refund."
654,There is a minimum amount for an additional refund.
655,Obvion can do this amount change during the term of the loan.
656,For more information see “Explanation to the General Terms and Conditions” on obvion.nl.
657,A maximum percentage may apply to the part of the debt remaining that you can financing with Obvion Flexible Interest.
658,For the current maximum percentage of Obvion Flexible Interest See “Explanation of the General Terms and Conditions” on obvion.nl.
659, What applies to a loan component whose interest is fixed for a period of longer than one month?
660,"Obvion does not change the interest during a fixed-rate period, provided that your  rate group, mortgage type and/or mortgage type."
661,The first fixed-rate period always starts on the first day of the month in which Obvion  has transferred the money to the notary.
662,Individual rate surcharges.
663,"The rate group depends on, among other things, the ratio  between the mortgage debt and the market value of the collateral."
664,"Based on rate group, the amount of the individual rate surcharge is determined, among other things."
665,Do you have loan components for which the fixed-rate period commenced before 24 April 2017?
666,"Then until the end of the fixed-rate period, the ratio between the mortgage debt and the foreclosure value* of the home."
667,"For appraisals with a value reference date from 1 January 2013, Obvion uses as foreclosure value 90% of the appraised market value."
668,"The rate group and the amount of the individual rate surcharge can change, among other things, at: the start of a new fixed-rate period."
669,Obvion is done at least three months before the end of your fixed-rate period  a written offer for the new fixed interest periods possible for you for similar loan components.
670,Obvion sets the interest rates in the offer based on the based on the interest rates applied by Obvion at that time and the components from which the interest rates for similar loan components are accrued.
671,The height of the components that make up the interest rate can change with respect to the interest rate that applies to the current fixed-rate period.
672,The fixed-rate period you choose may not be longer than the end of the term of the  loan part.
673,Is there no fixed-rate period that aligns with the end of the term of the loan?
674,"In that case, you may also use the nearest offered by Obvion for that loan component choose a longer fixed-rate period, but the fixed-rate period ends on the end date of the term of the relevant loan component."
675,Do you opt for the same fixed-rate period as the fixed-rate period that you  then you don't need to do anything.
676,"If you opt for a fixed-rate period other than the fixed-rate period that you have at that time, you must notify Obvion."
677,"In front of for the new fixed-rate period, the lowest interest rate from the period between the date applies of Obvion's offer and the date on which the new fixed-rate period commences (this is called the fall rate)."
678,Did Obvion not receive your choice before the fixed-rate period expires?
679,Then put  Obvion re-fixes the interest for a period equal to the fixed-rate period that expires.
680, Obvion can also fix the interest for a different period.
681,But then Obvion gives that  to her offer.
682,"In that case, the interest rate that Obvion at that time applies offers for similar loan components with that fixed-rate period."
683,Do you not want to make use of Obvion's offer?
684,Then you must report this to Obvion.
685, You must then pay the loan part or the loan parts for which the fixed-rate period ends.
686,repay on the date on which the fixed-rate period ends.
687,For the refund of you do not have to pay a fee for this loan component or these loan components on that date additional refund.
688, Do you opt for a fixed-interest period of two years at the start of a loan component?
689,Then you may opt for a different fixed interest rate for that loan component once during those two years period that Obvion has in its range at that time.
690,This is called Interest Free.
691,The fixed-rate period that you choose may not exceed the end of the term of the loan part.
692,Is there no fixed-rate period that aligns with the end of the term of the loan?
693,"In that case, you may also use the closest loan offered by Obvion for that loan component choose a longer fixed-rate period, but the fixed-rate period ends on the end date of the term of the relevant loan component."
694,The new fixed-rate period starts on the first day of the month following the month in which Obvion receives your application form.
695,This You can find an application form for converting the fixed-rate period at obvion.nl.
696,Or ask to your agent.
697,"Does Obvion have three months before the expiry of the fixed-rate If you have not yet received a choice from you during the period, you will receive an offer as referred to in Article 35 under 3."
698,"In that case, the same rules as those referred to in Article 35 under 4 to 6 apply."
699,You cannot revoke a choice once made.
700," In the last year of your fixed-rate period, you can opt once for a possible other fixed-rate period that Obvion has in its range at that time."
701,This is called Interest rate choice.
702,The fixed-rate period you choose may not be longer than the end of the term of the loan component.
703,Is there no fixed-rate period that aligns with the end of the term of the loan component?
704,"In that case, you may also use the offered by Obvion for that loan component nearest longer fixed-rate period, but the fixed-rate period ends on the end date of the term of the loan component concerned."
705,Freedom of choice does not apply in the first fixed-rate period of two years at the start of the loan for which the Interest free applies.
706,The new fixed-rate period starts on the first day of the month that follows the month in which Obvion receives your application form.
707,"This application form, for You can find the conversion of the fixed-rate period at obvion.nl."
708,Or ask your intermediary.
709,Does Obvion still have three months before the end of the fixed-rate period?
710,"If you have not received a choice from you, you will receive an offer as referred to in Article 35 paragraph 3."
711,"In in that case, the same rules apply as referred to in Article 35 under 4 to 6."
712,You cannot revoke the choice you have made.
713, With intermediate interest rate averaging you benefit from a lower interest rate without compensation.
714,You can use the fix new interest for a longer period.
715,Obvion calculates from the concerned loan part the average of your current interest rate and the interest rate of the newly selected fixed-rate period.
716,"In calculating that average, Obvion take into account the (residual) term of your current fixed-rate period and the term of your new fixed-rate period."
717,"For this calculation, the term of the new fixed-rate period the remaining term of your current fixed-rate period is deducted."
718,The average interest then applies as interest for your new fixed-rate period.
719,Interim interest rate averaging is not free.
720,"For more information about the administration costs, see “Explanation to the General Terms and Conditions” on obvion.nl."
721,Obvion may adjust the amount of the administration costs change during the term of your loan.
722,The following rules apply to interim interest averaging: 1.
723,You can submit a proposal for interim interest averaging at most once every 24 months  to request.
724,You can apply with the application form “Application interim”.
725,interest averaging”.
726,You can download this from obvion.nl.
727,Or ask your intermediary.
728,"Your current interest rate must be higher than the interest rate at the time of  application for a loan from Obvion with the same mortgage type, mortgage type and fixed-rate period."
729,Interim interest averaging is not possible with a fixed-rate period of 24 months or  shorter.
730,The current fixed-rate period must have run for at least 24 months.
731,The newly selected fixed-rate period is at least equal to the current fixed-rate period.
732,The newly selected fixed-rate period may not be longer than the remaining term of the  concerning loan part.
733,"In the event of an interim interest rate averaging, the General Terms and Conditions applicable at that time  of Obvion applies to the total loan."
734,The change is governed by a binding offer that Obvion makes to you.
735,This binding  offer you must accept.
736,Does your current fixed-rate period not coincide with a fixed-rate period that Obvion  currently offers?
737,Then Obvion goes for the calculation of the average interest rate based on the interest rate associated with the next longer fixed-rate period.
738, Special product conditions
739,With the Linear mortgage you repay the same amount of this loan component every month  to Obvion.
740,"In addition, you pay interest to Obvion every month."
741,You repay an equal part of the loan component each month.
742,"As a result, the The amount of this loan component decreases every month."
743,At the end of the term you will have it loan portion repaid in full.
744,You only pay interest on the part of the loan that you have not yet repaid.
745,"YOU pays interest on an increasingly lower amount, so that the amount you pay in interest becomes less and less."
746,Your monthly amount will therefore decrease during the term of the loan component.
747,This has tax implications.
748,Do you want to make additional repayments on the loan component?
749,Then contact Obvion.
750,"For the to determine any compensation to be paid by you, Obvion refers to article 22 of these Terms and Conditions."
751,Ask your intermediary about the tax rules that apply to this type of mortgage  and its consequences.
752,The loan portion must be in Obvion at the end of the term of the loan portion  refunded.
753,"With the Annuity Mortgage, you repay part of the loan component every month."
754,in addition you also pay interest to Obvion every month.
755,"You pay, with a fixed-interest period of longer than one month and during this fixed-rate period, the same monthly amount every month."
756,But the amount that you repay each month will increase over the term.
757,And the The amount of interest you pay is getting smaller and smaller.
758,This has tax consequences.
759,"With a fixed-interest period of one month, the monthly amount can change every month."
760, The term of the loan component does not change.
761,The monthly amount can change after each fixed-interest period of longer than one month.
762, The term of the loan component does not change.
763,You repay part of your loan component each month.
764,"At the end of the term,  you have repaid the loan component in full."
765,Do you want to make additional repayments on the loan component?
766,Then contact Obvion.
767,"For the to determine any compensation to be paid by you, Obvion refers to article 22 of these Terms and Conditions."
768,Ask your intermediary about the tax rules that apply to this type of mortgage  and its consequences.
769,The loan portion must be in Obvion at the end of the term of the loan portion  refunded.
770,The SpaarGerust mortgage consists of a loan component and a bank savings account of  Cooperative Rabobank U.A.
771,(hereinafter referred to as: Bank savings account SpaarGerust).
772,"The balance on the Savings Account SpaarGerust has been (re)pledged on the basis of the  “agreement of security construction” between you, Obvion and Coöperatieve Rabobank U.A.  3."
773,You will receive the “agreement” together with the (sample) quotation for the loan  security construction”.
774,And also the agreement for the Savings Account SpaarGerust.
775,You will also receive the General Terms and Conditions that apply to this.
776,The term of the Savings Account SpaarGerust is equal to the term of the loan  part of the SpaarGerust mortgage.
777,A fixed-interest period of one month is not possible with the SpaarGerusthypotheek.
778,"The loan part of the SpaarGerust mortgage must be  amount to a minimum of € 20,000."
779,The amount of the loan component of the SpaarGerust mortgage must always be equal to  the target capital of the Savings Account SpaarGerust.
780,"If the target capital of the Bank's savings account SpaarGerust is reduced, is part of the loan part of the SpaarGerust mortgage due and payable."
781,This part must then be repaid as soon as possible.
782,The amount due and to be repaid is equal to the amount by which the target capital is reduced.
783,"The target capital is the amount that the account holder must build up, to pay the loan part of the SpaarGerust mortgage on the end date of the repayment term."
784,"When the target capital of the Savings Account SpaarGerust has been reached, the loan portion is  of the SpaarGerust mortgage is fully due and payable."
785,"In that case, you must complete that loan component pay back."
786,The account holder must deposit a monthly savings amount into the Bank Savings Account SaveRelax.
787,The account holder of the Savings Account SpaarGerust is always (one of) the borrower(s).
788,Does the account holder not deposit an agreed savings amount on time?
789,"Then Obvion can pay the savings on behalf of the account holder, who is also a borrower Cooperative Rabobank U.A. Pay."
790,"In that case, the account holder owes this amount to  Obvion due."
791,Article 15 (‘What happens if Obvion makes a payment on your behalf or for you?”) of these General Terms and Conditions applies.
792,Is the binding offer “a tax-free continuation” of an existing policy/  account agreed?
793,"Then it is not possible to change the SpaarGerusthypotheek to the period: a. from the date of execution of the mortgage deed or from the effective date of the amendment  of the mortgage type, as stated in the binding offer."
794, b. until the contribution meets the requirements as stated in the General Terms and Conditions  Conditions for the Savings Account SpaarGerust.
